ID,Country,State,Improved_water_source,Water_piped_into_dwelling,Water_piped_into_yardplot,Public_tap_standpipe,Water_piped_to_neighbor,Tubewell_borehole,Protected_well,Protected_spring,Rainwater,_Bottled_water_demi_john,Unprotected_well_water,Unprotected_spring,Tanker_truck,Cart_with_tank,Sachet_water,Unimproved_bottled_water,Surface_water,Other_water_source
8,Nigeria,Edo,70.3,3.2,0.8,0.1,0,45,11.4,0,9.4,0.5,0.5,0,3.5,0,14.6,0,10.9,0.1
5,Nigeria,Ekiti,79.8,1.2,0.1,7.9,0.1,41.9,19.6,8,0.6,0.4,0.1,0,0.5,0,6.6,0,12.9,0.1
19,Nigeria,Enugu,58.5,0.3,1.9,11.3,0.2,16.2,5.9,1.7,20.9,0.2,0.7,5.6,13.8,0,6.7,0.1,14.5,0
10,Nigeria,FCT Abuja,57.8,16.5,1.5,14.8,0.6,20.9,2.8,0,0.1,0.6,1.7,0,2.9,7.7,14.9,0,14.7,0.3
26,Nigeria,Gombe,35.7,1.4,0,0.6,0.8,25.4,6.2,0,1.3,0,31.4,0.5,5,2.2,1.6,0,23.5,0
17,Nigeria,Imo,89.4,1,0.1,0.3,0,83.2,2.4,0.1,2,0.2,0.1,0.7,0.1,0,5.7,0,3.8,0.1
34,Nigeria,Jigawa,82.2,1.9,14.5,9.7,1.7,53.1,1.3,0,0,0,16.1,0,0,1,0.7,0,0,0
35,Nigeria,Kaduna,66,2.9,1.2,5.6,0.8,12.7,42.3,0.4,0,0.2,30.2,0.1,0,0.1,3.1,0,0.6,0
36,Nigeria,Kano,51.2,3.6,1,5.3,0.6,37.7,2.6,0.1,0,0.4,32.7,0,0.1,7.2,6.6,0,2.1,0
33,Nigeria,Katsina,46.5,0.9,3,5.9,1.9,33,1.7,0,0.1,0,28.6,0,0,17,0.2,0,7.6,0
12,Nigeria,Kebbi,47.9,0.6,1.7,7.7,0.6,21.5,14.9,0.9,0,0,41.5,1.8,0.8,0,0,0,8,0
6,Nigeria,Kogi,65.3,0.2,1.5,4.2,1.2,30,21.6,0,6.7,0,4.1,0.9,0,0,3.9,0,25.7,0
37,Nigeria,Kwara,63.1,1.9,0.8,5.2,0.2,46.3,8.4,0,0.2,0.1,5.1,0,0.3,0,5.6,0,25.9,0
2,Nigeria,Lagos,49,2,0.5,8,0.3,32.5,1.6,0,0,4.1,0.4,0,1.2,0,49.1,0.1,0,0.3
32,Nigeria,Nasarawa,74.1,1,1.8,1.3,0.9,56.5,12,0.1,0.3,0.2,8.5,0.1,0,0.7,5,0,11.6,0
11,Nigeria,Niger,60.6,1.1,3.1,1.4,0.4,50.2,4.1,0,0.4,0,15.9,2,0.3,0,0.6,0,20.5,0
