ID,NAME,TOTPOP_CY
1414,Ekiti East,205679
1415,Moba,216186
1416,Oye,204870
1501,Igbo Eze South,216720
1502,Nkanu West,216749
1503,Ezeagu,250895
1504,Nkanu East,225877
1505,Agwu,290147
1506,Enugu North,356102
1507,Igbo Eze North,380643
1508,Isi Uzo,218532
1509,Aninri,200331
1510,Enugu East,407542
1511,Nsukka,455086
1512,Udenu,262784
1513,Igbo Etiti,306380
1514,Oji River,189333
1515,Udi,350461
1516,Uzo Uwani,186991
1517,Enugu South,291233
1601,Funakaye,357438
1602,Billiri,304794
1603,Shomgom,226998
1604,Yamaltu/Deba,384567
1605,Dukku,312283
1606,Gombe,401285
1607,Kaltungo,241202
1608,Akko,507443
1609,Kwami,291734
1610,Nafada,210815
1611,Balanga,318043
1701,Aboh Mbaise,292912
1702,Ahiazu Mbaise,256888
1703,Nkwangele,192025
1704,Orsu,180795
1705,Ideato South,240092
1706,Ohaji/Egbema,275037
1707,Ehime Mbano,196361
1708,Ikeduru,225179
1709,Ihitte Uboma,179583
1710,Ezinihitte Mbaise,253796
1711,Oru West,173999
1712,Nkwerre,120713
1713,Njaba,215776
1714,Mbaitoli,357118
1715,Oguta,214055
1716,Okigwe,199558
1717,Onuimo,149430
1718,Owerri West,153019
1719,Orlu,214734
1720,Obowo,176598
1721,Owerri North,265175
1722,Owerri Municipal,188483
1723,Isiala Mbano,297637
1724,Oru East,168044
1725,Isu,247122
1726,Ngor/Okpala,237390
1727,Ideato North,234838
1801,Auyo,192361
1802,Babura,309704
1803,Birniwa,206536
1804,Birnin Kudu,456813
1805,Dutse,365231
1806,Gagarawa,119476
1807,Buji,141482
1808,Garki,218529
1809,Gumel,154698
1810,Guri,164866
1811,Gwaram,394656
1812,Gwiwa,187215
1813,Hadejia,151666
1814,Jahun,334323
1815,Kafin Hausa,388717
1816,Yankwashi,139095
1817,Kaugama,187580
1818,Kazaure,234378
1819,Kiri-Kasamma,280079
1820,Kiyawa,251527
1821,Maigatari,257497
1822,Malam Madori,239658
1823,Miga,185972
1824,Ringim,279822
1825,Roni,112585
1826,Sule Takarkar,196062
1827,Taura,191771
1901,Kubau,412815
1902,Birnin Gwari,380277
1903,Kaduna North,536159
1904,Giwa,429991
1905,Sanga,222778
1906,Kudan,204355
1907,Ikara,286367
1908,Kachia,371435
1909,Jema'A,409136
1910,Kagarko,351568
1911,Kauru,161491
1912,Kaura,256810
1913,Kajuru,325416
1914,Chikun,547476
1915,Jaba,229379
1916,Soba,428211
1917,Makarfi,215557
1918,Kaduna South,592272
1919,Sabon Gari,428484
1920,Lere,499636
1921,Igabi,633483
1922,Zaria,598534
1923,Zangon Kataf,469121
2001,Ajingi,262487
2002,Albasu,285341
2003,Bagwai,245642
2004,Bebeji,291843
2005,Bichi,423223
2006,Nassarawa,906959
2007,Bunkure,265310
2008,Danbatta,320067
2009,Dawakin Kudu,342912
